event_date,vendor,event_name,category,related_ticker,significance,url
2022-11-30,OpenAI,ChatGPT public launch,product_launch,MSFT,high,https://openai.com/blog/chatgpt
2023-01-23,Microsoft,Microsoft announces multibillion-dollar OpenAI investment,investment,MSFT,high,https://blogs.microsoft.com/blog/2023/01/23/microsoftandopenaiextendpartnership/
2023-02-07,Microsoft,Bing + Copilot powered by OpenAI announced,product_launch,MSFT,medium,https://blogs.microsoft.com/blog/2023/02/07/reinventing-search-with-a-new-ai-powered-microsoft-bing-and-edge-your-copilot-for-the-web/
2023-02-08,Google,Bard announced,product_launch,GOOGL,medium,https://blog.google/technology/ai/bard-google-ai-search-updates/
2023-03-14,Anthropic,Claude released,product_launch,,medium,https://www.anthropic.com/news/introducing-claude
2023-03-14,OpenAI,GPT-4 released,product_launch,MSFT,high,https://openai.com/research/gpt-4
2023-05-23,NVIDIA,NVIDIA guides to record AI-driven data center demand,earnings,NVDA,high,https://nvidianews.nvidia.com/
2023-07-11,Anthropic,Claude 2 released,product_launch,,medium,https://www.anthropic.com/news/claude-2
2023-09-25,Amazon,Amazon to invest up to $4B in Anthropic,investment,AMZN,high,https://www.aboutamazon.com/news/company-news/amazon-anthropic-ai-investment
2023-12-06,Google,Gemini announced,product_launch,GOOGL,high,https://blog.google/technology/ai/google-gemini-ai/
2024-02-15,OpenAI,Sora text-to-video preview,product_launch,MSFT,medium,https://openai.com/sora
2024-03-04,Anthropic,Claude 3 family released,product_launch,,medium,https://www.anthropic.com/news/claude-3-family
2024-03-18,NVIDIA,Blackwell GPU platform announced at GTC,product_launch,NVDA,high,https://nvidianews.nvidia.com/
2024-05-13,OpenAI,GPT-4o released,product_launch,MSFT,medium,https://openai.com/index/hello-gpt-4o/
2024-06-10,Apple,Apple Intelligence announced at WWDC,product_launch,AAPL,high,https://www.apple.com/newsroom/2024/06/introducing-apple-intelligence/
2024-10-22,Anthropic,Claude 3.5 Sonnet computer use released,product_launch,,medium,https://www.anthropic.com/news/3-5-models-and-computer-use
2024-12-11,Google,Gemini 2.0 announced,product_launch,GOOGL,medium,https://blog.google/technology/google-deepmind/google-gemini-ai-update-december-2024/
2025-01-21,OpenAI,Stargate AI infrastructure project announced,investment,MSFT,high,https://openai.com/index/announcing-the-stargate-project/
